"count","count.1","day.part","holiday","hour","humidity","is.daylight","is.working.hour","month","season","temp","weather","windspeed","workingday","year","diff"
3,1,"morning","0","05",47,"0","0","01","1",6.56,"1",19.0012,"1","2011",-1
30,3,"morning","0","06",50,"0","0","01","1",5.74,"1",26.0027,"1","2011",2
64,30,"morning","0","07",50,"1","0","01","1",5.74,"1",12.998,"1","2011",27
154,64,"morning","0","08",50,"1","0","01","1",5.74,"1",19.0012,"1","2011",34
88,154,"morning","0","09",43,"1","1","01","1",6.56,"1",26.0027,"1","2011",90
44,88,"morning","0","10",43,"1","1","01","1",7.38,"1",16.9979,"1","2011",-66
51,44,"morning","0","11",40,"1","1","01","1",8.2,"1",22.0028,"1","2011",-44
61,51,"midday","0","12",35,"1","1","01","1",9.02,"1",19.9995,"1","2011",7
61,61,"midday","0","13",35,"1","1","01","1",9.84,"1",19.0012,"1","2011",10
77,61,"midday","0","14",30,"1","1","01","1",10.66,"1",19.0012,"1","2011",0
72,77,"midday","0","15",30,"1","1","01","1",10.66,"1",16.9979,"1","2011",16
76,72,"afternoon","0","16",30,"1","1","01","1",10.66,"1",16.9979,"1","2011",-5
157,76,"afternoon","0","17",30,"0","0","01","1",9.84,"1",15.0013,"1","2011",4
157,157,"afternoon","0","18",32,"0","0","01","1",9.84,"1",7.0015,"1","2011",81
110,157,"afternoon","0","19",47,"0","0","01","1",8.2,"1",0,"1","2011",0
52,110,"night","0","20",47,"0","0","01","1",8.2,"1",7.0015,"1","2011",-47
52,52,"night","0","21",64,"0","0","01","1",7.38,"1",8.9981,"1","2011",-58
20,52,"night","0","22",69,"0","0","01","1",5.74,"1",8.9981,"1","2011",0
12,20,"night","0","23",55,"0","0","01","1",7.38,"1",7.0015,"1","2011",-32
5,12,"night","0","00",55,"0","0","01","1",6.56,"1",7.0015,"1","2011",-8
2,5,"night","0","01",59,"0","0","01","1",6.56,"1",7.0015,"1","2011",-7
1,2,"night","0","02",63,"0","0","01","1",5.74,"1",8.9981,"1","2011",-3
2,1,"night","0","04",63,"0","0","01","1",5.74,"1",6.0032,"1","2011",-1
4,2,"morning","0","05",68,"0","0","01","1",4.92,"1",7.0015,"1","2011",1
36,4,"morning","0","06",74,"0","0","01","1",4.92,"1",7.0015,"1","2011",2
94,36,"morning","0","07",74,"1","0","01","1",4.92,"1",8.9981,"1","2011",32
179,94,"morning","0","08",69,"1","0","01","1",5.74,"1",11.0014,"1","2011",58
100,179,"morning","0","09",64,"1","1","01","1",6.56,"1",15.0013,"1","2011",85
42,100,"morning","0","10",69,"1","1","01","1",6.56,"2",22.0028,"1","2011",-79
57,42,"morning","0","11",51,"1","1","01","1",9.02,"1",19.9995,"1","2011",-58
78,57,"midday","0","12",51,"1","1","01","1",9.02,"1",11.0014,"1","2011",15
97,78,"midday","0","13",56,"1","1","01","1",9.84,"1",12.998,"1","2011",21
63,97,"midday","0","14",52,"1","1","01","1",10.66,"1",15.0013,"1","2011",19
65,63,"midday","0","15",52,"1","1","01","1",11.48,"1",16.9979,"1","2011",-34
83,65,"afternoon","0","16",49,"1","1","01","1",12.3,"1",16.9979,"1","2011",2
212,83,"afternoon","0","17",48,"0","0","01","1",11.48,"1",15.0013,"1","2011",18
182,212,"afternoon","0","18",48,"0","0","01","1",10.66,"1",12.998,"1","2011",129
112,182,"afternoon","0","19",48,"0","0","01","1",9.84,"1",7.0015,"1","2011",-30
54,112,"night","0","20",48,"0","0","01","1",9.84,"1",7.0015,"1","2011",-70
48,54,"night","0","21",64,"0","0","01","1",9.02,"1",0,"1","2011",-58
35,48,"night","0","22",64,"0","0","01","1",9.02,"1",6.0032,"1","2011",-6
11,35,"night","0","23",69,"0","0","01","1",8.2,"1",6.0032,"1","2011",-13
6,11,"night","0","00",64,"0","0","01","1",8.2,"1",0,"1","2011",-24
6,6,"night","0","01",74,"0","0","01","1",6.56,"1",6.0032,"1","2011",-5
2,6,"night","0","02",74,"0","0","01","1",6.56,"1",6.0032,"1","2011",0
2,2,"night","0","04",48,"0","0","01","1",9.84,"1",15.0013,"1","2011",-4
3,2,"morning","0","05",47,"0","0","01","1",9.02,"1",11.0014,"1","2011",0
33,3,"morning","0","06",47,"0","0","01","1",8.2,"1",15.0013,"1","2011",1
88,33,"morning","0","07",43,"1","0","01","1",7.38,"1",12.998,"1","2011",30
195,88,"morning","0","08",40,"1","0","01","1",8.2,"1",19.9995,"1","2011",55
115,195,"morning","0","09",37,"1","1","01","1",9.02,"1",22.0028,"1","2011",107
57,115,"morning","0","10",37,"1","1","01","1",9.02,"1",22.0028,"1","2011",-80
46,57,"morning","0","11",33,"1","1","01","1",10.66,"1",22.0028,"1","2011",-58
79,46,"midday","0","12",33,"1","1","01","1",10.66,"1",22.0028,"1","2011",-11
71,79,"midday","0","13",30,"1","1","01","1",11.48,"1",19.9995,"1","2011",33
62,71,"midday","0","14",28,"1","1","01","1",12.3,"1",12.998,"1","2011",-8
62,62,"midday","0","15",28,"1","1","01","1",12.3,"1",12.998,"1","2011",-9
89,62,"afternoon","0","16",28,"1","1","01","1",12.3,"1",6.0032,"1","2011",0
190,89,"afternoon","0","17",38,"1","0","01","1",9.84,"1",12.998,"1","2011",27
169,190,"afternoon","0","18",38,"0","0","01","1",9.84,"1",8.9981,"1","2011",101
132,169,"afternoon","0","19",38,"0","0","01","1",9.84,"1",7.0015,"1","2011",-21
89,132,"night","0","20",47,"0","0","01","1",9.02,"1",11.0014,"1","2011",-37
43,89,"night","0","21",51,"0","0","01","1",8.2,"1",12.998,"1","2011",-43
42,43,"night","0","22",55,"0","0","01","1",7.38,"1",8.9981,"1","2011",-46
19,42,"night","0","23",47,"0","0","01","1",8.2,"1",0,"1","2011",-1
11,19,"night","0","00",55,"0","0","01","1",7.38,"1",0,"1","2011",-23
4,11,"night","0","01",64,"0","0","01","1",6.56,"1",0,"1","2011",-8
2,4,"night","0","02",64,"0","0","01","1",6.56,"1",0,"1","2011",-7
1,2,"night","0","04",64,"0","0","01","1",6.56,"2",6.0032,"1","2011",-2
4,1,"morning","0","05",69,"0","0","01","1",5.74,"2",6.0032,"1","2011",-1
36,4,"morning","0","06",63,"0","0","01","1",5.74,"2",7.0015,"1","2011",3
95,36,"morning","0","07",59,"1","0","01","1",6.56,"2",0,"1","2011",32
219,95,"morning","0","08",59,"1","0","01","1",6.56,"1",0,"1","2011",59
122,219,"morning","0","09",51,"1","1","01","1",7.38,"2",0,"1","2011",124
45,122,"morning","0","10",47,"1","1","01","1",8.2,"1",0,"1","2011",-97
59,45,"morning","0","11",44,"1","1","01","1",9.02,"1",6.0032,"1","2011",-77
84,59,"midday","0","12",35,"1","1","01","1",10.66,"1",0,"1","2011",14
67,84,"midday","0","13",35,"1","1","01","1",10.66,"1",7.0015,"1","2011",25
70,67,"midday","0","14",36,"1","1","01","1",11.48,"1",11.0014,"1","2011",-17
62,70,"midday","0","15",36,"1","1","01","1",11.48,"1",0,"1","2011",3
86,62,"afternoon","0","16",38,"1","1","01","1",10.66,"1",11.0014,"1","2011",-8
172,86,"afternoon","0","17",51,"1","0","01","1",9.02,"1",11.0014,"1","2011",24
163,172,"afternoon","0","18",51,"0","0","01","1",9.02,"1",8.9981,"1","2011",86
112,163,"afternoon","0","19",55,"0","0","01","1",9.02,"1",6.0032,"1","2011",-9
69,112,"night","0","20",51,"0","0","01","1",8.2,"1",11.0014,"1","2011",-51
48,69,"night","0","21",55,"0","0","01","1",9.02,"2",15.0013,"1","2011",-43
52,48,"night","0","22",51,"0","0","01","1",9.02,"2",19.0012,"1","2011",-21
23,52,"night","0","23",59,"0","0","01","1",8.2,"2",12.998,"1","2011",4
17,23,"night","0","00",64,"0","0","01","1",8.2,"2",12.998,"1","2011",-29
7,17,"night","0","01",69,"0","0","01","1",8.2,"2",15.0013,"1","2011",-6
1,7,"night","0","02",69,"0","0","01","1",8.2,"2",15.0013,"1","2011",-10
1,1,"night","0","04",69,"0","0","01","1",8.2,"2",8.9981,"1","2011",-6
5,1,"morning","0","05",55,"0","0","01","1",9.02,"3",0,"1","2011",0
34,5,"morning","0","06",69,"0","0","01","1",8.2,"2",0,"1","2011",4
84,34,"morning","0","07",69,"1","0","01","1",8.2,"1",8.9981,"1","2011",29
210,84,"morning","0","08",51,"1","0","01","1",8.2,"1",16.9979,"1","2011",50
134,210,"morning","0","09",47,"1","1","01","1",8.2,"1",19.9995,"1","2011",126
63,134,"morning","0","10",37,"1","1","01","1",9.02,"1",22.0028,"1","2011",-76
67,63,"morning","0","11",40,"1","1","01","1",8.2,"2",15.0013,"1","2011",-71
59,67,"midday","0","12",37,"1","1","01","1",8.2,"2",16.9979,"1","2011",4
73,59,"midday","0","13",37,"1","1","01","1",8.2,"2",19.0012,"1","2011",-8
50,73,"midday","0","14",40,"1","1","01","1",8.2,"2",16.9979,"1","2011",14
72,50,"midday","0","15",37,"1","1","01","1",8.2,"2",11.0014,"1","2011",-23
87,72,"afternoon","0","16",37,"1","1","01","1",8.2,"2",11.0014,"1","2011",22
187,87,"afternoon","0","17",37,"1","0","01","1",8.2,"2",0,"1","2011",15
123,187,"afternoon","0","18",40,"0","0","01","1",8.2,"1",6.0032,"1","2011",100
95,123,"afternoon","0","19",55,"0","0","01","1",6.56,"1",6.0032,"1","2011",-64
51,95,"night","0","20",47,"0","0","01","1",7.38,"1",7.0015,"1","2011",-28
39,51,"night","0","21",47,"0","0","01","1",7.38,"1",8.9981,"1","2011",-44
36,39,"night","0","22",43,"0","0","01","1",7.38,"2",11.0014,"1","2011",-12
15,36,"night","0","23",51,"0","0","01","1",7.38,"2",11.0014,"1","2011",-3
25,15,"night","0","00",51,"0","0","01","1",7.38,"2",11.0014,"0","2011",-21
16,25,"night","0","01",55,"0","0","01","1",7.38,"2",6.0032,"0","2011",10
16,16,"night","0","02",55,"0","0","01","1",7.38,"2",0,"0","2011",-9
7,16,"night","0","03",55,"0","0","01","1",7.38,"3",11.0014,"0","2011",0
1,7,"night","0","04",55,"0","0","01","1",7.38,"3",11.0014,"0","2011",-9
5,1,"morning","0","05",74,"0","0","01","1",6.56,"2",11.0014,"0","2011",-6
2,5,"morning","0","06",74,"0","0","01","1",6.56,"2",11.0014,"0","2011",4
9,2,"morning","0","07",74,"1","0","01","1",6.56,"2",7.0015,"0","2011",-3
15,9,"morning","0","08",93,"1","0","01","1",6.56,"3",7.0015,"0","2011",7
20,15,"morning","0","09",93,"1","0","01","1",6.56,"3",7.0015,"0","2011",6
61,20,"morning","0","10",80,"1","0","01","1",7.38,"2",11.0014,"0","2011",5
62,61,"morning","0","11",69,"1","0","01","1",8.2,"2",26.0027,"0","2011",41
98,62,"midday","0","12",59,"1","0","01","1",8.2,"2",23.9994,"0","2011",1
102,98,"midday","0","13",44,"1","0","01","1",8.2,"1",22.0028,"0","2011",36
95,102,"midday","0","14",32,"1","0","01","1",8.2,"1",32.9975,"0","2011",4
74,95,"midday","0","15",32,"1","0","01","1",8.2,"1",30.0026,"0","2011",-7
76,74,"afternoon","0","16",29,"1","0","01","1",7.38,"1",30.0026,"0","2011",-21
69,76,"afternoon","0","17",37,"1","0","01","1",6.56,"1",36.9974,"0","2011",2
55,69,"afternoon","0","18",39,"0","0","01","1",5.74,"1",19.9995,"0","2011",-7
30,55,"afternoon","0","19",36,"0","0","01","1",5.74,"1",16.9979,"0","2011",-14
28,30,"night","0","20",36,"0","0","01","1",4.92,"1",16.9979,"0","2011",-25
37,28,"night","0","21",39,"0","0","01","1",4.92,"1",23.9994,"0","2011",-2
34,37,"night","0","22",36,"0","0","01","1",4.92,"1",26.0027,"0","2011",9
22,34,"night","0","23",39,"0","0","01","1",4.1,"1",30.0026,"0","2011",-3
25,22,"night","0","00",42,"0","0","01","1",4.1,"1",26.0027,"0","2011",-12
12,25,"night","0","01",42,"0","0","01","1",4.1,"1",31.0009,"0","2011",3
11,12,"night","0","02",46,"0","0","01","1",4.1,"1",31.0009,"0","2011",-13
4,11,"night","0","03",46,"0","0","01","1",4.1,"1",27.9993,"0","2011",-1
1,4,"night","0","04",53,"0","0","01","1",3.28,"1",12.998,"0","2011",-7
1,1,"morning","0","05",53,"0","0","01","1",3.28,"1",12.998,"0","2011",-3
1,1,"morning","0","06",49,"0","0","01","1",4.1,"1",19.0012,"0","2011",0
6,1,"morning","0","07",53,"1","0","01","1",3.28,"1",12.998,"0","2011",0
10,6,"morning","0","08",49,"1","0","01","1",4.1,"1",19.0012,"0","2011",5
19,10,"morning","0","09",46,"1","0","01","1",4.92,"1",35.0008,"0","2011",4
49,19,"morning","0","10",43,"1","0","01","1",5.74,"1",26.0027,"0","2011",9
49,49,"morning","0","11",40,"1","0","01","1",6.56,"1",35.0008,"0","2011",30
83,49,"midday","0","12",37,"1","0","01","1",7.38,"1",30.0026,"0","2011",0
75,83,"midday","0","13",34,"1","0","01","1",8.2,"1",30.0026,"0","2011",34
72,75,"midday","0","14",32,"1","0","01","1",9.02,"1",31.0009,"0","2011",-8
82,72,"midday","0","15",35,"1","0","01","1",9.02,"1",23.9994,"0","2011",-3
92,82,"afternoon","0","16",34,"1","0","01","1",8.2,"1",30.0026,"0","2011",10
62,92,"afternoon","0","17",37,"1","0","01","1",7.38,"1",26.0027,"0","2011",10
48,62,"afternoon","0","18",40,"0","0","01","1",6.56,"1",22.0028,"0","2011",-30
41,48,"afternoon","0","19",43,"0","0","01","1",6.56,"1",22.0028,"0","2011",-14
38,41,"night","0","20",46,"0","0","01","1",5.74,"1",16.9979,"0","2011",-7
20,38,"night","0","21",46,"0","0","01","1",5.74,"1",27.9993,"0","2011",-3
15,20,"night","0","22",46,"0","0","01","1",5.74,"1",19.9995,"0","2011",-18
6,15,"night","0","23",50,"0","0","01","1",4.92,"1",12.998,"0","2011",-5
5,6,"night","0","00",50,"0","0","01","1",4.92,"1",19.0012,"1","2011",-9
1,5,"night","0","01",50,"0","0","01","1",4.92,"1",19.0012,"1","2011",-1
3,1,"night","0","02",50,"0","0","01","1",4.92,"1",15.0013,"1","2011",-4
1,3,"night","0","03",50,"0","0","01","1",4.92,"1",15.0013,"1","2011",2
3,1,"night","0","04",54,"0","0","01","1",4.1,"1",8.9981,"1","2011",-2
3,3,"morning","0","05",54,"0","0","01","1",4.1,"1",16.9979,"1","2011",2
31,3,"morning","0","06",50,"0","0","01","1",4.92,"1",19.0012,"1","2011",0
77,31,"morning","0","07",50,"1","0","01","1",4.92,"1",15.0013,"1","2011",28
188,77,"morning","0","08",50,"1","0","01","1",4.92,"2",19.0012,"1","2011",46
94,188,"morning","0","09",50,"1","1","01","1",5.74,"2",16.9979,"1","2011",111
31,94,"morning","0","10",50,"1","1","01","1",5.74,"2",19.9995,"1","2011",-94
30,31,"morning","0","11",47,"1","1","01","1",6.56,"2",19.0012,"1","2011",-63
52,30,"midday","0","12",40,"1","1","01","1",8.2,"2",19.0012,"1","2011",-1
54,52,"midday","0","13",40,"1","1","01","1",8.2,"2",19.0012,"1","2011",22
47,54,"midday","0","14",40,"1","1","01","1",8.2,"2",15.0013,"1","2011",2
45,47,"midday","0","15",40,"1","1","01","1",8.2,"2",15.0013,"1","2011",-7
74,45,"afternoon","0","16",40,"1","1","01","1",8.2,"1",8.9981,"1","2011",-2
178,74,"afternoon","0","17",40,"1","0","01","1",8.2,"1",7.0015,"1","2011",29
155,178,"afternoon","0","18",40,"0","0","01","1",8.2,"1",15.0013,"1","2011",104
95,155,"afternoon","0","19",47,"0","0","01","1",6.56,"1",11.0014,"1","2011",-23
74,95,"night","0","20",50,"0","0","01","1",6.56,"1",11.0014,"1","2011",-60
38,74,"night","0","21",59,"0","0","01","1",5.74,"1",12.998,"1","2011",-21
24,38,"night","0","22",59,"0","0","01","1",5.74,"1",11.0014,"1","2011",-36
18,24,"night","0","23",59,"0","0","01","1",5.74,"1",11.0014,"1","2011",-14
12,18,"night","0","00",59,"0","0","01","1",5.74,"1",7.0015,"1","2011",-6
3,12,"night","0","01",59,"0","0","01","1",5.74,"1",11.0014,"1","2011",-6
3,3,"night","0","02",55,"0","0","01","1",6.56,"2",12.998,"1","2011",-9
6,3,"morning","0","05",55,"0","0","01","1",6.56,"2",8.9981,"1","2011",0
27,6,"morning","0","06",55,"0","0","01","1",6.56,"2",8.9981,"1","2011",3
99,27,"morning","0","07",55,"1","0","01","1",6.56,"2",0,"1","2011",21
217,99,"morning","0","08",51,"1","0","01","1",7.38,"2",6.0032,"1","2011",72
130,217,"morning","0","09",51,"1","1","01","1",7.38,"2",11.0014,"1","2011",118
54,130,"morning","0","10",51,"1","1","01","1",8.2,"2",11.0014,"1","2011",-87
35,54,"morning","0","11",47,"1","1","01","1",8.2,"2",8.9981,"1","2011",-76
57,35,"midday","0","12",51,"1","1","01","1",8.2,"2",7.0015,"1","2011",-19
52,57,"midday","0","13",59,"1","1","01","1",8.2,"2",6.0032,"1","2011",22
63,52,"midday","0","14",59,"1","1","01","1",8.2,"2",6.0032,"1","2011",-5
47,63,"midday","0","15",80,"1","1","01","1",6.56,"2",6.0032,"1","2011",11
76,47,"afternoon","0","16",86,"1","1","01","1",6.56,"2",15.0013,"1","2011",-16
136,76,"afternoon","0","17",86,"1","0","01","1",6.56,"2",15.0013,"1","2011",29
95,136,"afternoon","0","18",93,"0","0","01","1",6.56,"3",7.0015,"1","2011",60
51,95,"afternoon","0","19",93,"0","0","01","1",6.56,"3",0,"1","2011",-41
32,51,"night","0","20",93,"0","0","01","1",6.56,"3",12.998,"1","2011",-44
20,32,"night","0","21",86,"0","0","01","1",6.56,"3",6.0032,"1","2011",-19
29,20,"night","0","22",93,"0","0","01","1",6.56,"3",7.0015,"1","2011",-12
19,29,"night","0","23",93,"0","0","01","1",6.56,"3",6.0032,"1","2011",9
7,19,"night","0","00",86,"0","0","01","1",6.56,"2",6.0032,"1","2011",-10
6,7,"night","0","01",86,"0","0","01","1",6.56,"2",7.0015,"1","2011",-12
1,6,"night","0","02",86,"0","0","01","1",5.74,"1",8.9981,"1","2011",-1
5,1,"morning","0","05",86,"0","0","01","1",5.74,"1",11.0014,"1","2011",-5
16,5,"morning","0","06",93,"0","0","01","1",4.92,"1",8.9981,"1","2011",4
54,16,"morning","0","07",69,"1","0","01","1",5.74,"1",8.9981,"1","2011",11
128,54,"morning","0","08",59,"1","0","01","1",6.56,"1",11.0014,"1","2011",38
81,128,"morning","0","09",59,"1","1","01","1",6.56,"1",22.0028,"1","2011",74
39,81,"morning","0","10",55,"1","1","01","1",7.38,"1",15.0013,"1","2011",-47
35,39,"morning","0","11",51,"1","1","01","1",8.2,"1",26.0027,"1","2011",-42
55,35,"midday","0","12",47,"1","1","01","1",8.2,"1",39.0007,"1","2011",-4
49,55,"midday","0","13",44,"1","1","01","1",9.02,"1",23.9994,"1","2011",20
44,49,"midday","0","14",47,"1","1","01","1",8.2,"1",22.0028,"1","2011",-6
49,44,"midday","0","15",47,"1","1","01","1",8.2,"1",27.9993,"1","2011",-5
68,49,"afternoon","0","16",44,"1","1","01","1",9.02,"1",22.0028,"1","2011",5
139,68,"afternoon","0","17",47,"1","0","01","1",8.2,"1",23.9994,"1","2011",19
137,139,"afternoon","0","18",47,"0","0","01","1",8.2,"1",35.0008,"1","2011",71
83,137,"afternoon","0","19",47,"0","0","01","1",7.38,"1",27.9993,"1","2011",-2
56,83,"night","0","20",50,"0","0","01","1",6.56,"1",22.0028,"1","2011",-54
57,56,"night","0","21",55,"0","0","01","1",6.56,"1",22.0028,"1","2011",-27
33,57,"night","0","22",55,"0","0","01","1",6.56,"1",30.0026,"1","2011",1
20,33,"night","0","23",59,"0","0","01","1",5.74,"1",27.9993,"1","2011",-24
7,20,"night","0","00",59,"0","0","01","1",5.74,"1",19.0012,"1","2011",-13
2,7,"night","0","01",50,"0","0","01","1",5.74,"1",19.0012,"1","2011",-13
2,2,"night","0","02",50,"0","0","01","1",5.74,"1",23.9994,"1","2011",-5
3,2,"night","0","03",50,"0","0","01","1",5.74,"1",22.0028,"1","2011",0
4,3,"night","0","04",50,"0","0","01","1",5.74,"1",16.9979,"1","2011",1
3,4,"morning","0","05",50,"0","0","01","1",5.74,"1",19.9995,"1","2011",1
28,3,"morning","0","06",54,"0","0","01","1",4.92,"1",8.9981,"1","2011",-1
72,28,"morning","0","07",54,"1","0","01","1",4.92,"1",8.9981,"1","2011",25
202,72,"morning","0","08",50,"1","0","01","1",5.74,"1",12.998,"1","2011",44
139,202,"morning","0","09",50,"1","1","01","1",5.74,"1",22.0028,"1","2011",130
38,139,"morning","0","10",50,"1","1","01","1",6.56,"2",23.9994,"1","2011",-63
37,38,"morning","0","11",44,"1","1","01","1",8.2,"2",30.0026,"1","2011",-101
52,37,"midday","0","12",44,"1","1","01","1",8.2,"1",27.9993,"1","2011",-1
83,52,"midday","0","13",41,"1","1","01","1",9.02,"1",30.0026,"1","2011",15
42,83,"midday","0","14",41,"1","1","01","1",9.02,"1",26.0027,"1","2011",31
60,42,"midday","0","15",38,"1","1","01","1",9.84,"1",19.9995,"1","2011",-41
78,60,"afternoon","0","16",38,"1","1","01","1",9.84,"1",23.9994,"1","2011",18
162,78,"afternoon","0","17",40,"1","0","01","1",8.2,"1",19.0012,"1","2011",18
144,162,"afternoon","0","18",40,"0","0","01","1",8.2,"1",22.0028,"1","2011",84
99,144,"afternoon","0","19",47,"0","0","01","1",6.56,"1",16.9979,"1","2011",-18
64,99,"night","0","20",47,"0","0","01","1",6.56,"1",15.0013,"1","2011",-45
40,64,"night","0","21",46,"0","0","01","1",5.74,"1",19.9995,"1","2011",-35
30,40,"night","0","22",46,"0","0","01","1",5.74,"1",22.0028,"1","2011",-24
15,30,"night","0","23",50,"0","0","01","1",4.92,"1",12.998,"1","2011",-10
14,15,"night","0","00",50,"0","0","01","1",4.92,"1",12.998,"1","2011",-15
5,14,"night","0","01",54,"0","0","01","1",4.1,"1",11.0014,"1","2011",-1
1,5,"night","0","02",54,"0","0","01","1",4.1,"1",8.9981,"1","2011",-9
1,1,"night","0","03",54,"0","0","01","1",4.1,"1",7.0015,"1","2011",-4
8,1,"morning","0","05",54,"0","0","01","1",4.1,"1",6.0032,"1","2011",0
17,8,"morning","0","06",54,"0","0","01","1",4.1,"1",0,"1","2011",7
70,17,"morning","0","07",74,"1","0","01","1",4.1,"1",11.0014,"1","2011",9
158,70,"morning","0","08",68,"1","0","01","1",4.92,"1",0,"1","2011",53
117,158,"morning","0","09",69,"1","1","01","1",5.74,"1",8.9981,"1","2011",88
44,117,"morning","0","10",55,"1","1","01","1",7.38,"1",12.998,"1","2011",-41
53,44,"morning","0","11",51,"1","1","01","1",7.38,"1",19.0012,"1","2011",-73
61,53,"midday","0","12",44,"1","1","01","1",8.2,"1",16.9979,"1","2011",9
77,61,"midday","0","13",37,"1","1","01","1",9.02,"1",26.0027,"1","2011",8
64,77,"midday","0","14",41,"1","1","01","1",9.02,"1",19.0012,"1","2011",16
68,64,"midday","0","15",38,"1","1","01","1",9.84,"1",11.0014,"1","2011",-13
90,68,"afternoon","0","16",41,"1","1","01","1",9.02,"1",7.0015,"1","2011",4
159,90,"afternoon","0","17",41,"1","0","01","1",9.02,"1",11.0014,"1","2011",22
139,159,"afternoon","0","18",47,"0","0","01","1",8.2,"1",0,"1","2011",69
92,139,"afternoon","0","19",59,"0","0","01","1",6.56,"1",6.0032,"1","2011",-20
68,92,"night","0","20",59,"0","0","01","1",7.38,"1",0,"1","2011",-47
