year,month,day,sunrise,sunset,length
2011,4,10,6,19,13.0111
2011,4,11,6,19,13.0519
2011,4,12,6,19,13.0928
2011,4,13,6,19,13.1336
2011,4,14,6,19,13.1742
2011,4,15,6,19,13.2144
2011,4,16,6,19,13.2544
2011,4,17,6,19,13.2944
2011,4,18,6,19,13.3344
2011,4,19,6,19,13.3739
2011,4,20,6,19,13.4133
2011,4,21,6,19,13.4525
2011,4,22,6,19,13.4914
2011,4,23,6,19,13.53
2011,4,24,6,19,13.5686
2011,4,25,6,19,13.6067
2011,4,26,6,19,13.6447
2011,4,27,6,19,13.6822
2011,4,28,6,19,13.7197
2011,4,29,6,19,13.7567
2011,4,30,6,20,13.7933
2011,5,1,6,20,13.8297
2011,5,2,6,20,13.8656
2011,5,3,6,20,13.9014
2011,5,4,6,20,13.9367
2011,5,5,6,20,13.9714
2011,5,6,6,20,14.0061
2011,5,7,6,20,14.04
2011,5,8,6,20,14.0736
2011,5,9,6,20,14.1069
2011,5,10,6,20,14.1397
2011,5,11,6,20,14.1719
2011,5,12,5,20,14.2036
2011,5,13,5,20,14.235
2011,5,14,5,20,14.2656
2011,5,15,5,20,14.2958
2011,5,16,5,20,14.3253
2011,5,17,5,20,14.3544
2011,5,18,5,20,14.3828
2011,5,19,5,20,14.4108
2011,5,20,5,20,14.4381
2011,5,21,5,20,14.4647
2011,5,22,5,20,14.4908
2011,5,23,5,20,14.5161
2011,5,24,5,20,14.5408
2011,5,25,5,20,14.5647
2011,5,26,5,20,14.5878
2011,5,27,5,20,14.6106
2011,5,28,5,20,14.6322
2011,5,29,5,20,14.6533
2011,5,30,5,20,14.6733
2011,5,31,5,20,14.6928
2011,6,1,5,20,14.7117
2011,6,2,5,20,14.7294
2011,6,3,5,20,14.7464
2011,6,4,5,20,14.7625
2011,6,5,5,20,14.7778
2011,6,6,5,20,14.7922
2011,6,7,5,20,14.8058
2011,6,8,5,20,14.8183
2011,6,9,5,20,14.8303
2011,6,10,5,20,14.8411
2011,6,11,5,20,14.8511
2011,6,12,5,20,14.86
2011,6,13,5,20,14.8681
2011,6,14,5,20,14.8753
2011,6,15,5,20,14.8817
2011,6,16,5,20,14.8867
2011,6,17,5,20,14.8911
2011,6,18,5,20,14.8944
2011,6,19,5,20,14.8969
2011,6,20,5,20,14.8983
2011,6,21,5,20,14.8989
2011,6,22,5,20,14.8983
2011,6,23,5,20,14.8969
2011,6,24,5,20,14.8944
2011,6,25,5,20,14.8911
2011,6,26,5,20,14.8867
2011,6,27,5,20,14.8814
2011,6,28,5,20,14.8753
2011,6,29,5,20,14.8681
2011,6,30,5,20,14.86
2011,7,1,5,20,14.8511
2011,7,2,5,20,14.8411
2011,7,3,5,20,14.8303
2011,7,4,5,20,14.8186
2011,7,5,5,20,14.8061
2011,7,6,5,20,14.7925
2011,7,7,5,20,14.7781
2011,7,8,5,20,14.7631
2011,7,9,5,20,14.7469
2011,7,10,5,20,14.73
2011,7,11,5,20,14.7122
2011,7,12,5,20,14.6936
2011,7,13,5,20,14.6744
2011,7,14,5,20,14.6544
2011,7,15,5,20,14.6336
2011,7,16,5,20,14.6119
2011,7,17,5,20,14.5897
2011,7,18,5,20,14.5667
2011,7,19,5,20,14.5431
2011,7,20,5,20,14.5186
2011,7,21,6,20,14.4936
2011,7,22,6,20,14.4678
2011,7,23,6,20,14.4414
2011,7,24,6,20,14.4144
2011,7,25,6,20,14.3869
2011,7,26,6,20,14.3589
2011,7,27,6,20,14.33
2011,7,28,6,20,14.3008
2011,7,29,6,20,14.2708
2011,7,30,6,20,14.2406
2011,7,31,6,20,14.2097
2011,8,1,6,20,14.1783
2011,8,2,6,20,14.1464
2011,8,3,6,20,14.1142
2011,8,4,6,20,14.0814
2011,8,5,6,20,14.0481
2011,8,6,6,20,14.0147
2011,8,7,6,20,13.9806
2011,8,8,6,20,13.9461
2011,8,9,6,20,13.9114
2011,8,10,6,20,13.8764
2011,8,11,6,20,13.8408
2011,8,12,6,20,13.805
2011,8,13,6,20,13.7689
2011,8,14,6,20,13.7325
2011,8,15,6,20,13.6958
2011,8,16,6,20,13.6586
2011,8,17,6,20,13.6214
2011,8,18,6,19,13.5839
2011,8,19,6,19,13.5458
2011,8,20,6,19,13.5081
2011,8,21,6,19,13.4694
2011,8,22,6,19,13.4311
2011,8,23,6,19,13.3922
2011,8,24,6,19,13.3533
2011,8,25,6,19,13.3142
2011,8,26,6,19,13.2747
2011,8,27,6,19,13.235
2011,8,28,6,19,13.1953
2011,8,29,6,19,13.1556
2011,8,30,6,19,13.1156
2011,8,31,6,19,13.0753
2011,9,1,6,19,13.035
2011,9,2,6,19,12.9944
2011,9,3,6,19,12.9539
2011,9,4,6,19,12.9131
2011,9,5,6,19,12.8722
2011,9,6,6,19,12.8314
2011,9,7,6,19,12.7906
2011,9,8,6,19,12.7494
2011,9,9,6,19,12.7081
2011,9,10,6,19,12.6669
2011,9,11,6,19,12.6256
2011,9,12,6,19,12.5842
2011,9,13,6,19,12.5428
2011,9,14,6,19,12.5011
2011,9,15,6,19,12.4594
2011,9,16,6,19,12.4178
2011,9,17,6,19,12.3761
2011,9,18,6,19,12.3344
2011,9,19,6,19,12.2928
2011,9,20,6,19,12.2508
2011,9,21,6,19,12.2092
2011,9,22,6,19,12.1672
2011,9,23,6,19,12.1256
2011,9,24,6,19,12.0836
2011,9,25,6,19,12.0417
2011,9,26,6,18,11.9997
2011,9,27,7,18,11.9581
2011,9,28,7,18,11.9161
2011,9,29,7,18,11.8742
2011,9,30,7,18,11.8325
2011,10,1,7,18,11.7906
2011,10,2,7,18,11.7489
2011,10,3,7,18,11.7072
2011,10,4,7,18,11.6656
2011,10,5,7,18,11.6239
2011,10,6,7,18,11.5825
2011,10,7,7,18,11.5408
2011,10,8,7,18,11.4994
2011,10,9,7,18,11.4583
2011,10,10,7,18,11.4169
2011,10,11,7,18,11.3758
2011,10,12,7,18,11.3347
2011,10,13,7,18,11.2939
2011,10,14,7,18,11.2531
2011,10,15,7,18,11.2122
2011,10,16,7,18,11.1717
2011,10,17,7,18,11.1314
2011,10,18,7,18,11.0908
2011,10,19,7,18,11.0508
2011,10,20,7,18,11.0108
2011,10,21,7,18,10.9708
2011,10,22,7,18,10.9314
2011,10,23,7,18,10.8919
2011,10,24,7,18,10.8525
2011,10,25,7,18,10.8136
2011,10,26,7,18,10.7747
2011,10,27,7,18,10.7361
2011,10,28,7,18,10.6978
2011,10,29,7,18,10.6597
2011,10,30,7,18,10.6219
2011,10,31,7,18,10.5844
2011,11,1,7,18,10.5472
2011,11,2,7,18,10.5103
2011,11,3,7,18,10.4736
2011,11,4,7,18,10.4375
2011,11,5,7,18,10.4017
2011,11,6,6,17,10.3661
2011,11,7,6,17,10.3308
2011,11,8,6,17,10.2964
2011,11,9,6,17,10.2619
2011,11,10,6,16,10.2281
2011,11,11,6,16,10.1947
2011,11,12,6,16,10.1619
2011,11,13,6,16,10.1294
2011,11,14,6,16,10.0975
2011,11,15,6,16,10.0661
2011,11,16,6,16,10.0353
2011,11,17,6,16,10.005
2011,11,18,6,16,9.9753
2011,11,19,6,16,9.9461
2011,11,20,6,16,9.9178
2011,11,21,6,16,9.8897
2011,11,22,6,16,9.8628
2011,11,23,6,16,9.8361
2011,11,24,7,16,9.8103
2011,11,25,7,16,9.7853
2011,11,26,7,16,9.7608
2011,11,27,7,16,9.7372
2011,11,28,7,16,9.7142
2011,11,29,7,16,9.6922
2011,11,30,7,16,9.6708
2011,12,1,7,16,9.6506
2011,12,2,7,16,9.6308
2011,12,3,7,16,9.6122
2011,12,4,7,16,9.5942
2011,12,5,7,16,9.5772
2011,12,6,7,16,9.5614
2011,12,7,7,16,9.5461
2011,12,8,7,16,9.5319
2011,12,9,7,16,9.5186
2011,12,10,7,16,9.5064
2011,12,11,7,16,9.4953
2011,12,12,7,16,9.4847
2011,12,13,7,16,9.4756
2011,12,14,7,16,9.4672
2011,12,15,7,16,9.46
2011,12,16,7,16,9.4536
2011,12,17,7,16,9.4483
2011,12,18,7,16,9.4442
2011,12,19,7,16,9.4411
2011,12,20,7,16,9.4389
2011,12,21,7,16,9.4381
2011,12,22,7,16,9.4381
2011,12,23,7,16,9.4389
2011,12,24,7,16,9.4411
2011,12,25,7,16,9.4442
2011,12,26,7,16,9.4483
2011,12,27,7,16,9.4536
2011,12,28,7,16,9.46
2011,12,29,7,16,9.4672
2011,12,30,7,16,9.4756
2011,12,31,7,16,9.4847
2012,1,1,7,16,9.495
2012,1,2,7,16,9.5064
2012,1,3,7,16,9.5186
2012,1,4,7,16,9.5319
2012,1,5,7,17,9.5464
2012,1,6,7,17,9.5614
2012,1,7,7,17,9.5775
2012,1,8,7,17,9.5947
2012,1,9,7,17,9.6125
2012,1,10,7,17,9.6314
2012,1,11,7,17,9.6511
2012,1,12,7,17,9.6717
2012,1,13,7,17,9.6931
2012,1,14,7,17,9.7153
2012,1,15,7,17,9.7383
2012,1,16,7,17,9.7622
2012,1,17,7,17,9.7869
2012,1,18,7,17,9.8122
2012,1,19,7,17,9.8383
2012,1,20,7,17,9.865
2012,1,21,7,17,9.8925
2012,1,22,7,17,9.9208
2012,1,23,7,17,9.9494
2012,1,24,7,17,9.9789
2012,1,25,7,17,10.0089
2012,1,26,7,17,10.0397
2012,1,27,7,17,10.0708
2012,1,28,7,17,10.1028
2012,1,29,7,17,10.135
2012,1,30,7,17,10.1678
2012,1,31,7,17,10.2011
2012,2,1,7,17,10.235
2012,2,2,7,17,10.2692
2012,2,3,7,17,10.3039
2012,2,4,7,17,10.3392
2012,2,5,7,17,10.3747
2012,2,6,7,17,10.4106
2012,2,7,7,17,10.4469
2012,2,8,7,17,10.4836
2012,2,9,7,17,10.5208
2012,2,10,7,17,10.5581
2012,2,11,7,17,10.5958
2012,2,12,7,17,10.6339
2012,2,13,7,17,10.6722
2012,2,14,7,17,10.7108
2012,2,15,7,17,10.75
2012,2,16,6,17,10.7892
2012,2,17,6,17,10.8283
2012,2,18,6,17,10.8681
2012,2,19,6,17,10.9081
2012,2,20,6,17,10.9481
2012,2,21,6,17,10.9883
2012,2,22,6,17,11.0289
2012,2,23,6,17,11.0694
2012,2,24,6,17,11.1103
2012,2,25,6,17,11.1511
2012,2,26,6,17,11.1922
2012,2,27,6,17,11.2336
2012,2,28,6,17,11.275
2012,2,29,6,18,11.3164
2012,3,1,6,18,11.3581
2012,3,2,6,18,11.3997
2012,3,3,6,18,11.4417
2012,3,4,6,18,11.4836
2012,3,5,6,18,11.5256
2012,3,6,6,18,11.5675
2012,3,7,6,18,11.6097
2012,3,8,6,18,11.6519
2012,3,9,6,18,11.6942
2012,3,10,6,18,11.7364
2012,3,11,7,19,11.7789
2012,3,12,7,19,11.8211
2012,3,13,7,19,11.8636
2012,3,14,7,19,11.9061
2012,3,15,7,19,11.9486
2012,3,16,7,19,11.9911
2012,3,17,7,19,12.0336
2012,3,18,7,19,12.0761
2012,3,19,7,19,12.1186
2012,3,20,7,19,12.1611
2012,3,21,7,19,12.2036
2012,3,22,7,19,12.2461
2012,3,23,7,19,12.2883
2012,3,24,7,19,12.3308
2012,3,25,7,19,12.3733
2012,3,26,7,19,12.4156
2012,3,27,7,19,12.4581
2012,3,28,6,19,12.5003
2012,3,29,6,19,12.5422
2012,3,30,6,19,12.5844
2012,3,31,6,19,12.6264
2012,4,1,6,19,12.6686
2012,4,2,6,19,12.7103
2012,4,3,6,19,12.7522
2012,4,4,6,19,12.7939
2012,4,5,6,19,12.8356
2012,4,6,6,19,12.8769
2012,4,7,6,19,12.9183
2012,4,8,6,19,12.9597
2012,4,9,6,19,13.0008
2012,4,10,6,19,13.0417
2012,4,11,6,19,13.0825
2012,4,12,6,19,13.1233
2012,4,13,6,19,13.1639
2012,4,14,6,19,13.2044
2012,4,15,6,19,13.2444
2012,4,16,6,19,13.2847
2012,4,17,6,19,13.3244
2012,4,18,6,19,13.3642
2012,4,19,6,19,13.4036
2012,4,20,6,19,13.4428
2012,4,21,6,19,13.4819
2012,4,22,6,19,13.5206
2012,4,23,6,19,13.5592
2012,4,24,6,19,13.5975
2012,4,25,6,19,13.6353
2012,4,26,6,19,13.6731
2012,4,27,6,19,13.7106
2012,4,28,6,19,13.7475
2012,4,29,6,19,13.7842
2012,4,30,6,20,13.8208
2012,5,1,6,20,13.8567
2012,5,2,6,20,13.8925
2012,5,3,6,20,13.9278
2012,5,4,6,20,13.9628
2012,5,5,6,20,13.9975
2012,5,6,6,20,14.0317
2012,5,7,6,20,14.0653
2012,5,8,6,20,14.0986
2012,5,9,6,20,14.1314
2012,5,10,6,20,14.1636
2012,5,11,5,20,14.1956
2012,5,12,5,20,14.2269
2012,5,13,5,20,14.2578
2012,5,14,5,20,14.2883
2012,5,15,5,20,14.3181
2012,5,16,5,20,14.3472
2012,5,17,5,20,14.3758
2012,5,18,5,20,14.4039
2012,5,19,5,20,14.4314
2012,5,20,5,20,14.4581
2012,5,21,5,20,14.4844
2012,5,22,5,20,14.5097
2012,5,23,5,20,14.5347
2012,5,24,5,20,14.5589
2012,5,25,5,20,14.5822
2012,5,26,5,20,14.605
2012,5,27,5,20,14.6269
2012,5,28,5,20,14.6481
2012,5,29,5,20,14.6683
2012,5,30,5,20,14.6881
2012,5,31,5,20,14.7069
2012,6,1,5,20,14.725
2012,6,2,5,20,14.7419
2012,6,3,5,20,14.7583
2012,6,4,5,20,14.7739
2012,6,5,5,20,14.7886
2012,6,6,5,20,14.8022
2012,6,7,5,20,14.8153
2012,6,8,5,20,14.8272
2012,6,9,5,20,14.8383
2012,6,10,5,20,14.8486
2012,6,11,5,20,14.8578
2012,6,12,5,20,14.8661
2012,6,13,5,20,14.8736
2012,6,14,5,20,14.88
2012,6,15,5,20,14.8856
2012,6,16,5,20,14.89
2012,6,17,5,20,14.8936
2012,6,18,5,20,14.8964
2012,6,19,5,20,14.8981
2012,6,20,5,20,14.8986
2012,6,21,5,20,14.8983
2012,6,22,5,20,14.8972
2012,6,23,5,20,14.895
2012,6,24,5,20,14.8919
2012,6,25,5,20,14.8878
2012,6,26,5,20,14.8828
2012,6,27,5,20,14.8767
2012,6,28,5,20,14.87
2012,6,29,5,20,14.8619
2012,6,30,5,20,14.8533
2012,7,1,5,20,14.8436
2012,7,2,5,20,14.8331
2012,7,3,5,20,14.8214
2012,7,4,5,20,14.8092
2012,7,5,5,20,14.7958
2012,7,6,5,20,14.7817
2012,7,7,5,20,14.7667
2012,7,8,5,20,14.7508
2012,7,9,5,20,14.7342
2012,7,10,5,20,14.7167
2012,7,11,5,20,14.6983
2012,7,12,5,20,14.6792
2012,7,13,5,20,14.6594
2012,7,14,5,20,14.6389
2012,7,15,5,20,14.6175
2012,7,16,5,20,14.5953
2012,7,17,5,20,14.5725
2012,7,18,5,20,14.5489
2012,7,19,5,20,14.5247
2012,7,20,5,20,14.4997
2012,7,21,6,20,14.4742
2012,7,22,6,20,14.4478
2012,7,23,6,20,14.4211
2012,7,24,6,20,14.3936
2012,7,25,6,20,14.3656
2012,7,26,6,20,14.3369
2012,7,27,6,20,14.3078
2012,7,28,6,20,14.2781
2012,7,29,6,20,14.2478
2012,7,30,6,20,14.2172
2012,7,31,6,20,14.1858
2012,8,1,6,20,14.1542
2012,8,2,6,20,14.1219
2012,8,3,6,20,14.0894
2012,8,4,6,20,14.0564
2012,8,5,6,20,14.0228
2012,8,6,6,20,13.9889
2012,8,7,6,20,13.9547
2012,8,8,6,20,13.92
2012,8,9,6,20,13.885
2012,8,10,6,20,13.8497
2012,8,11,6,20,13.8139
2012,8,12,6,20,13.7778
2012,8,13,6,20,13.7414
2012,8,14,6,20,13.7047
2012,8,15,6,20,13.6678
2012,8,16,6,20,13.6306
2012,8,17,6,20,13.5928
2012,8,18,6,19,13.555
2012,8,19,6,19,13.5169
2012,8,20,6,19,13.4786
2012,8,21,6,19,13.4403
2012,8,22,6,19,13.4014
2012,8,23,6,19,13.3625
2012,8,24,6,19,13.3233
2012,8,25,6,19,13.2842
2012,8,26,6,19,13.2447
2012,8,27,6,19,13.205
2012,8,28,6,19,13.165
2012,8,29,6,19,13.125
2012,8,30,6,19,13.085
2012,8,31,6,19,13.0447
2012,9,1,6,19,13.0044
2012,9,2,6,19,12.9639
2012,9,3,6,19,12.9231
2012,9,4,6,19,12.8825
2012,9,5,6,19,12.8414
2012,9,6,6,19,12.8006
2012,9,7,6,19,12.7594
2012,9,8,6,19,12.7183
2012,9,9,6,19,12.6769
2012,9,10,6,19,12.6356
2012,9,11,6,19,12.5942
2012,9,12,6,19,12.5528
2012,9,13,6,19,12.5111
2012,9,14,6,19,12.4697
2012,9,15,6,19,12.4281
2012,9,16,6,19,12.3864
2012,9,17,6,19,12.3444
2012,9,18,6,19,12.3028
2012,9,19,6,19,12.2608
2012,9,20,6,19,12.2192
2012,9,21,6,19,12.1772
2012,9,22,6,19,12.1356
2012,9,23,6,19,12.0936
2012,9,24,6,19,12.0517
2012,9,25,6,19,12.01
2012,9,26,7,18,11.9681
2012,9,27,7,18,11.9261
2012,9,28,7,18,11.8844
2012,9,29,7,18,11.8425
2012,9,30,7,18,11.8008
2012,10,1,7,18,11.7592
2012,10,2,7,18,11.7175
2012,10,3,7,18,11.6758
2012,10,4,7,18,11.6342
2012,10,5,7,18,11.5925
2012,10,6,7,18,11.5511
2012,10,7,7,18,11.5097
2012,10,8,7,18,11.4683
2012,10,9,7,18,11.4272
2012,10,10,7,18,11.3858
2012,10,11,7,18,11.3447
2012,10,12,7,18,11.3039
2012,10,13,7,18,11.2631
2012,10,14,7,18,11.2222
2012,10,15,7,18,11.1814
2012,10,16,7,18,11.1411
2012,10,17,7,18,11.1006
2012,10,18,7,18,11.0603
2012,10,19,7,18,11.0203
2012,10,20,7,18,10.9806
2012,10,21,7,18,10.9408
2012,10,22,7,18,10.9011
2012,10,23,7,18,10.8619
2012,10,24,7,18,10.8228
2012,10,25,7,18,10.7839
2012,10,26,7,18,10.7453
2012,10,27,7,18,10.7069
2012,10,28,7,18,10.6689
2012,10,29,7,18,10.6311
2012,10,30,7,18,10.5933
2012,10,31,7,18,10.5561
2012,11,1,7,18,10.5192
2012,11,2,7,18,10.4825
2012,11,3,7,18,10.4464
2012,11,4,6,17,10.4103
2012,11,5,6,17,10.3747
2012,11,6,6,17,10.3394
2012,11,7,6,17,10.3047
2012,11,8,6,17,10.2703
2012,11,9,6,16,10.2364
2012,11,10,6,16,10.2028
2012,11,11,6,16,10.1697
2012,11,12,6,16,10.1372
2012,11,13,6,16,10.1053
2012,11,14,6,16,10.0739
2012,11,15,6,16,10.0428
2012,11,16,6,16,10.0122
2012,11,17,6,16,9.9825
2012,11,18,6,16,9.9531
2012,11,19,6,16,9.9244
2012,11,20,6,16,9.8964
2012,11,21,6,16,9.8692
2012,11,22,6,16,9.8425
2012,11,23,7,16,9.8164
2012,11,24,7,16,9.7911
2012,11,25,7,16,9.7667
2012,11,26,7,16,9.7428
2012,11,27,7,16,9.7197
2012,11,28,7,16,9.6975
2012,11,29,7,16,9.6761
2012,11,30,7,16,9.6556
2012,12,1,7,16,9.6356
2012,12,2,7,16,9.6167
2012,12,3,7,16,9.5986
2012,12,4,7,16,9.5814
2012,12,5,7,16,9.5653
2012,12,6,7,16,9.55
2012,12,7,7,16,9.5356
2012,12,8,7,16,9.5219
2012,12,9,7,16,9.5094
2012,12,10,7,16,9.4981
2012,12,11,7,16,9.4875
2012,12,12,7,16,9.4778
2012,12,13,7,16,9.4692
2012,12,14,7,16,9.4617
2012,12,15,7,16,9.4553
2012,12,16,7,16,9.4497
2012,12,17,7,16,9.4453
2012,12,18,7,16,9.4419
2012,12,19,7,16,9.4394
2012,12,20,7,16,9.4383
2012,12,21,7,16,9.4381
2012,12,22,7,16,9.4386
2012,12,23,7,16,9.4406
2012,12,24,7,16,9.4433
2012,12,25,7,16,9.4475
2012,12,26,7,16,9.4525
2012,12,27,7,16,9.4583
2012,12,28,7,16,9.4653
2012,12,29,7,16,9.4733
2012,12,30,7,16,9.4825
2012,12,31,7,16,9.4925
