"year","month","day","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","hour","old.year","old.month","old.day","sunrise","sunset","day.hours","is.daylight","numeric.hour","is.working.hour","day.part"
"2011","01","20","1","0","1","2",12.3,15.15,49,8.9981,"16",2011,1,20,7,17,9.8717,"1",16,"1","afternoon"
"2011","01","20","1","0","1","2",12.3,15.91,49,7.0015,"17",2011,1,20,7,17,9.8717,"1",17,"0","afternoon"
"2011","01","20","1","0","1","2",10.66,12.88,56,12.998,"18",2011,1,20,7,17,9.8717,"0",18,"0","afternoon"
"2011","01","20","1","0","1","1",10.66,11.365,56,22.0028,"19",2011,1,20,7,17,9.8717,"0",19,"0","afternoon"
"2011","01","20","1","0","1","2",10.66,12.12,60,19.0012,"20",2011,1,20,7,17,9.8717,"0",20,"0","night"
"2011","01","20","1","0","1","2",9.84,11.365,60,16.9979,"21",2011,1,20,7,17,9.8717,"0",21,"0","night"
"2011","01","20","1","0","1","2",9.84,10.605,65,19.0012,"22",2011,1,20,7,17,9.8717,"0",22,"0","night"
"2011","01","20","1","0","1","2",9.84,10.605,65,22.0028,"23",2011,1,20,7,17,9.8717,"0",23,"0","night"
"2011","01","21","1","0","1","2",9.84,11.365,70,16.9979,"00",2011,1,21,7,17,9.8992,"0",0,"0","night"
"2011","01","21","1","0","1","2",9.84,11.365,70,16.9979,"01",2011,1,21,7,17,9.8992,"0",1,"0","night"
"2011","01","21","1","0","1","3",9.84,12.12,75,11.0014,"02",2011,1,21,7,17,9.8992,"0",2,"0","night"
"2011","01","21","1","0","1","3",9.02,10.605,80,19.9995,"03",2011,1,21,7,17,9.8992,"0",3,"0","night"
"2011","01","21","1","0","1","2",9.02,12.88,87,6.0032,"04",2011,1,21,7,17,9.8992,"0",4,"0","night"
"2011","01","21","1","0","1","1",9.84,9.85,60,27.9993,"05",2011,1,21,7,17,9.8992,"0",5,"0","morning"
"2011","01","21","1","0","1","1",9.02,10.605,55,16.9979,"06",2011,1,21,7,17,9.8992,"0",6,"0","morning"
"2011","01","21","1","0","1","1",8.2,9.09,51,19.0012,"07",2011,1,21,7,17,9.8992,"1",7,"0","morning"
"2011","01","21","1","0","1","1",8.2,9.09,47,22.0028,"08",2011,1,21,7,17,9.8992,"1",8,"0","morning"
"2011","01","21","1","0","1","1",8.2,9.09,51,23.9994,"09",2011,1,21,7,17,9.8992,"1",9,"1","morning"
"2011","01","21","1","0","1","1",8.2,8.335,47,31.0009,"10",2011,1,21,7,17,9.8992,"1",10,"1","morning"
"2011","01","21","1","0","1","1",9.02,9.09,41,31.0009,"11",2011,1,21,7,17,9.8992,"1",11,"1","morning"
"2011","01","21","1","0","1","1",9.02,9.09,27,39.0007,"12",2011,1,21,7,17,9.8992,"1",12,"1","midday"
"2011","01","21","1","0","1","1",8.2,7.575,21,39.0007,"13",2011,1,21,7,17,9.8992,"1",13,"1","midday"
"2011","01","21","1","0","1","1",8.2,7.575,25,35.0008,"14",2011,1,21,7,17,9.8992,"1",14,"1","midday"
"2011","01","21","1","0","1","1",6.56,6.06,26,30.0026,"15",2011,1,21,7,17,9.8992,"1",15,"1","midday"
"2011","01","21","1","0","1","1",6.56,6.82,26,23.9994,"16",2011,1,21,7,17,9.8992,"1",16,"1","afternoon"
"2011","01","21","1","0","1","1",5.74,6.06,28,23.9994,"17",2011,1,21,7,17,9.8992,"1",17,"0","afternoon"
"2011","01","21","1","0","1","1",4.92,6.06,30,16.9979,"18",2011,1,21,7,17,9.8992,"0",18,"0","afternoon"
"2011","01","21","1","0","1","1",4.92,5.305,30,22.0028,"19",2011,1,21,7,17,9.8992,"0",19,"0","afternoon"
"2011","01","21","1","0","1","1",4.1,3.79,33,27.9993,"20",2011,1,21,7,17,9.8992,"0",20,"0","night"
"2011","01","21","1","0","1","1",3.28,3.79,38,19.0012,"21",2011,1,21,7,17,9.8992,"0",21,"0","night"
"2011","01","21","1","0","1","1",2.46,1.515,41,26.0027,"22",2011,1,21,7,17,9.8992,"0",22,"0","night"
"2011","01","21","1","0","1","1",2.46,2.275,38,22.0028,"23",2011,1,21,7,17,9.8992,"0",23,"0","night"
"2011","01","22","1","0","0","1",1.64,1.515,45,16.9979,"00",2011,1,22,7,17,9.9275,"0",0,"0","night"
"2011","01","22","1","0","0","2",1.64,0,41,26.0027,"01",2011,1,22,7,17,9.9275,"0",1,"0","night"
"2011","01","22","1","0","0","2",1.64,1.515,41,16.9979,"02",2011,1,22,7,17,9.9275,"0",2,"0","night"
"2011","01","22","1","0","0","2",1.64,1.515,41,19.0012,"03",2011,1,22,7,17,9.9275,"0",3,"0","night"
"2011","01","22","1","0","0","2",0.82,0.76,48,19.9995,"04",2011,1,22,7,17,9.9275,"0",4,"0","night"
"2011","01","22","1","0","0","2",0.82,1.515,44,15.0013,"06",2011,1,22,7,17,9.9275,"0",6,"0","morning"
"2011","01","22","1","0","0","1",0.82,0.76,44,19.0012,"07",2011,1,22,7,17,9.9275,"1",7,"0","morning"
"2011","01","22","1","0","0","1",0.82,0,44,22.0028,"08",2011,1,22,7,17,9.9275,"1",8,"0","morning"
"2011","01","22","1","0","0","1",1.64,1.515,41,16.9979,"09",2011,1,22,7,17,9.9275,"1",9,"0","morning"
"2011","01","22","1","0","0","2",1.64,3.03,41,11.0014,"10",2011,1,22,7,17,9.9275,"1",10,"0","morning"
"2011","01","22","1","0","0","2",2.46,3.79,38,8.9981,"11",2011,1,22,7,17,9.9275,"1",11,"0","morning"
"2011","01","22","1","0","0","2",2.46,5.305,38,7.0015,"12",2011,1,22,7,17,9.9275,"1",12,"0","midday"
"2011","01","22","1","0","0","1",3.28,8.335,35,0,"13",2011,1,22,7,17,9.9275,"1",13,"0","midday"
"2011","01","22","1","0","0","1",4.1,6.82,33,7.0015,"14",2011,1,22,7,17,9.9275,"1",14,"0","midday"
"2011","01","22","1","0","0","1",4.92,7.575,28,0,"15",2011,1,22,7,17,9.9275,"1",15,"0","midday"
"2011","01","22","1","0","0","1",4.92,6.82,28,12.998,"16",2011,1,22,7,17,9.9275,"1",16,"0","afternoon"
"2011","01","22","1","0","0","1",4.92,9.85,28,0,"17",2011,1,22,7,17,9.9275,"1",17,"0","afternoon"
"2011","01","22","1","0","0","1",3.28,4.545,35,12.998,"18",2011,1,22,7,17,9.9275,"0",18,"0","afternoon"
"2011","01","22","1","0","0","1",3.28,5.305,35,8.9981,"19",2011,1,22,7,17,9.9275,"0",19,"0","afternoon"
"2011","01","22","1","0","0","1",2.46,3.79,45,11.0014,"20",2011,1,22,7,17,9.9275,"0",20,"0","night"
"2011","01","22","1","0","0","1",2.46,5.305,41,6.0032,"21",2011,1,22,7,17,9.9275,"0",21,"0","night"
"2011","01","22","1","0","0","1",2.46,7.575,49,0,"22",2011,1,22,7,17,9.9275,"0",22,"0","night"
"2011","01","22","1","0","0","1",1.64,3.79,57,7.0015,"23",2011,1,22,7,17,9.9275,"0",23,"0","night"
"2011","01","23","1","0","0","1",1.64,3.79,57,7.0015,"00",2011,1,23,7,17,9.9564,"0",0,"0","night"
"2011","01","23","1","0","0","1",1.64,3.79,57,7.0015,"01",2011,1,23,7,17,9.9564,"0",1,"0","night"
"2011","01","23","1","0","0","1",0.82,3.03,62,8.9981,"02",2011,1,23,7,17,9.9564,"0",2,"0","night"
"2011","01","23","1","0","0","1",0.82,3.03,62,8.9981,"03",2011,1,23,7,17,9.9564,"0",3,"0","night"
"2011","01","23","1","0","0","2",1.64,3.79,57,7.0015,"05",2011,1,23,7,17,9.9564,"0",5,"0","morning"
"2011","01","23","1","0","0","2",1.64,3.79,57,7.0015,"06",2011,1,23,7,17,9.9564,"0",6,"0","morning"
"2011","01","23","1","0","0","1",3.28,5.305,58,11.0014,"07",2011,1,23,7,17,9.9564,"1",7,"0","morning"
"2011","01","23","1","0","0","1",2.46,3.79,62,11.0014,"08",2011,1,23,7,17,9.9564,"1",8,"0","morning"
"2011","01","23","1","0","0","1",4.1,3.79,54,23.9994,"09",2011,1,23,7,17,9.9564,"1",9,"0","morning"
"2011","01","23","1","0","0","1",5.74,5.305,46,26.0027,"10",2011,1,23,7,17,9.9564,"1",10,"0","morning"
"2011","01","23","1","0","0","1",5.74,6.82,43,15.0013,"11",2011,1,23,7,17,9.9564,"1",11,"0","morning"
"2011","01","23","1","0","0","1",6.56,6.06,37,31.0009,"12",2011,1,23,7,17,9.9564,"1",12,"0","midday"
"2011","01","23","1","0","0","1",5.74,5.305,33,26.0027,"13",2011,1,23,7,17,9.9564,"1",13,"0","midday"
"2011","01","23","1","0","0","1",6.56,6.82,28,23.9994,"14",2011,1,23,7,17,9.9564,"1",14,"0","midday"
"2011","01","23","1","0","0","1",6.56,6.82,28,23.9994,"15",2011,1,23,7,17,9.9564,"1",15,"0","midday"
"2011","01","23","1","0","0","1",6.56,6.82,26,22.0028,"16",2011,1,23,7,17,9.9564,"1",16,"0","afternoon"
"2011","01","23","1","0","0","1",5.74,5.305,26,26.0027,"17",2011,1,23,7,17,9.9564,"1",17,"0","afternoon"
"2011","01","23","1","0","0","1",4.92,6.06,30,16.9979,"18",2011,1,23,7,17,9.9564,"0",18,"0","afternoon"
"2011","01","23","1","0","0","1",4.92,6.06,30,19.0012,"19",2011,1,23,7,17,9.9564,"0",19,"0","afternoon"
"2011","01","23","1","0","0","1",4.1,5.305,36,16.9979,"20",2011,1,23,7,17,9.9564,"0",20,"0","night"
"2011","01","23","1","0","0","1",4.1,5.305,36,12.998,"21",2011,1,23,7,17,9.9564,"0",21,"0","night"
"2011","01","23","1","0","0","1",3.28,4.545,38,12.998,"22",2011,1,23,7,17,9.9564,"0",22,"0","night"
"2011","01","23","1","0","0","1",2.46,3.03,41,15.0013,"23",2011,1,23,7,17,9.9564,"0",23,"0","night"
"2011","01","24","1","0","1","1",2.46,3.03,41,12.998,"00",2011,1,24,7,17,9.9861,"0",0,"0","night"
"2011","01","24","1","0","1","1",1.64,2.275,45,12.998,"01",2011,1,24,7,17,9.9861,"0",1,"0","night"
"2011","01","24","1","0","1","1",1.64,1.515,45,16.9979,"03",2011,1,24,7,17,9.9861,"0",3,"0","night"
"2011","01","24","1","0","1","1",0.82,3.03,48,8.9981,"04",2011,1,24,7,17,9.9861,"0",4,"0","night"
"2011","01","24","1","0","1","1",0.82,3.03,48,8.9981,"05",2011,1,24,7,17,9.9861,"0",5,"0","morning"
"2011","01","24","1","0","1","1",0.82,3.79,48,6.0032,"06",2011,1,24,7,17,9.9861,"0",6,"0","morning"
"2011","01","24","1","0","1","1",0.82,6.06,48,0,"07",2011,1,24,7,17,9.9861,"1",7,"0","morning"
"2011","01","24","1","0","1","1",1.64,6.82,49,0,"08",2011,1,24,7,17,9.9861,"1",8,"0","morning"
"2011","01","24","1","0","1","1",2.46,7.575,41,0,"09",2011,1,24,7,17,9.9861,"1",9,"1","morning"
"2011","01","24","1","0","1","1",4.1,6.82,42,0,"10",2011,1,24,7,17,9.9861,"1",10,"1","morning"
"2011","01","24","1","0","1","1",4.1,6.06,46,8.9981,"11",2011,1,24,7,17,9.9861,"1",11,"1","morning"
"2011","01","24","1","0","1","2",4.92,6.82,42,12.998,"12",2011,1,24,7,17,9.9861,"1",12,"1","midday"
"2011","01","24","1","0","1","2",5.74,6.82,43,15.0013,"13",2011,1,24,7,17,9.9861,"1",13,"1","midday"
"2011","01","24","1","0","1","2",5.74,6.82,46,15.0013,"14",2011,1,24,7,17,9.9861,"1",14,"1","midday"
"2011","01","24","1","0","1","1",6.56,8.335,40,11.0014,"15",2011,1,24,7,17,9.9861,"1",15,"1","midday"
"2011","01","24","1","0","1","1",6.56,7.575,47,16.9979,"16",2011,1,24,7,17,9.9861,"1",16,"1","afternoon"
"2011","01","24","1","0","1","1",5.74,6.06,50,16.9979,"17",2011,1,24,7,17,9.9861,"1",17,"0","afternoon"
"2011","01","24","1","0","1","1",5.74,6.82,59,12.998,"18",2011,1,24,7,17,9.9861,"0",18,"0","afternoon"
"2011","01","24","1","0","1","1",5.74,7.575,54,11.0014,"19",2011,1,24,7,17,9.9861,"0",19,"0","afternoon"
"2011","01","24","1","0","1","1",5.74,6.82,59,12.998,"20",2011,1,24,7,17,9.9861,"0",20,"0","night"
"2011","01","24","1","0","1","1",5.74,7.575,63,11.0014,"21",2011,1,24,7,17,9.9861,"0",21,"0","night"
"2011","01","24","1","0","1","2",5.74,6.82,63,15.0013,"22",2011,1,24,7,17,9.9861,"0",22,"0","night"
"2011","01","24","1","0","1","2",6.56,7.575,64,16.9979,"23",2011,1,24,7,17,9.9861,"0",23,"0","night"
"2011","01","25","1","0","1","2",6.56,6.82,69,19.0012,"00",2011,1,25,7,17,10.0161,"0",0,"0","night"
"2011","01","25","1","0","1","2",6.56,8.335,69,11.0014,"01",2011,1,25,7,17,10.0161,"0",1,"0","night"
"2011","01","25","1","0","1","1",6.56,7.575,69,15.0013,"02",2011,1,25,7,17,10.0161,"0",2,"0","night"
"2011","01","25","1","0","1","1",5.74,8.335,74,7.0015,"04",2011,1,25,7,17,10.0161,"0",4,"0","night"
"2011","01","25","1","0","1","1",5.74,6.82,74,15.0013,"05",2011,1,25,7,17,10.0161,"0",5,"0","morning"
"2011","01","25","1","0","1","1",6.56,9.09,74,7.0015,"06",2011,1,25,7,17,10.0161,"0",6,"0","morning"
"2011","01","25","1","0","1","1",6.56,7.575,74,15.0013,"07",2011,1,25,7,17,10.0161,"1",7,"0","morning"
"2011","01","25","1","0","1","2",6.56,9.09,74,8.9981,"08",2011,1,25,7,17,10.0161,"1",8,"0","morning"
"2011","01","25","1","0","1","2",8.2,11.365,64,6.0032,"09",2011,1,25,7,17,10.0161,"1",9,"1","morning"
"2011","01","25","1","0","1","2",9.02,12.12,60,7.0015,"10",2011,1,25,7,17,10.0161,"1",10,"1","morning"
"2011","01","25","1","0","1","2",9.84,12.12,60,8.9981,"11",2011,1,25,7,17,10.0161,"1",11,"1","morning"
"2011","01","25","1","0","1","2",10.66,14.395,56,6.0032,"12",2011,1,25,7,17,10.0161,"1",12,"1","midday"
"2011","01","25","1","0","1","2",10.66,13.635,56,8.9981,"13",2011,1,25,7,17,10.0161,"1",13,"1","midday"
"2011","01","25","1","0","1","2",12.3,16.665,45,0,"14",2011,1,25,7,17,10.0161,"1",14,"1","midday"
"2011","01","25","1","0","1","2",13.12,17.425,42,0,"15",2011,1,25,7,17,10.0161,"1",15,"1","midday"
"2011","01","25","1","0","1","2",13.12,17.425,42,0,"16",2011,1,25,7,17,10.0161,"1",16,"1","afternoon"
"2011","01","25","1","0","1","1",12.3,16.665,45,0,"17",2011,1,25,7,17,10.0161,"1",17,"0","afternoon"
"2011","01","25","1","0","1","2",12.3,15.91,49,6.0032,"18",2011,1,25,7,17,10.0161,"0",18,"0","afternoon"
"2011","01","25","1","0","1","2",10.66,12.88,65,11.0014,"19",2011,1,25,7,17,10.0161,"0",19,"0","afternoon"
"2011","01","25","1","0","1","1",9.84,11.365,65,12.998,"20",2011,1,25,7,17,10.0161,"0",20,"0","night"
"2011","01","25","1","0","1","1",9.84,11.365,65,12.998,"21",2011,1,25,7,17,10.0161,"0",21,"0","night"
"2011","01","25","1","0","1","1",9.02,11.365,64,11.0014,"22",2011,1,25,7,17,10.0161,"0",22,"0","night"
"2011","01","25","1","0","1","2",9.02,11.365,64,11.0014,"23",2011,1,25,7,17,10.0161,"0",23,"0","night"
"2011","01","26","1","0","1","2",9.02,11.365,69,8.9981,"00",2011,1,26,7,17,10.0469,"0",0,"0","night"
"2011","01","26","1","0","1","2",9.84,12.12,65,8.9981,"01",2011,1,26,7,17,10.0469,"0",1,"0","night"
"2011","01","26","1","0","1","3",9.02,11.365,69,12.998,"02",2011,1,26,7,17,10.0469,"0",2,"0","night"
"2011","01","26","1","0","1","3",8.2,9.09,86,19.0012,"05",2011,1,26,7,17,10.0469,"0",5,"0","morning"
"2011","01","26","1","0","1","3",8.2,9.09,86,19.0012,"06",2011,1,26,7,17,10.0469,"0",6,"0","morning"
"2011","01","26","1","0","1","3",9.02,10.605,87,19.9995,"07",2011,1,26,7,17,10.0469,"1",7,"0","morning"
"2011","01","26","1","0","1","3",9.02,10.605,87,19.9995,"08",2011,1,26,7,17,10.0469,"1",8,"0","morning"
"2011","01","26","1","0","1","3",9.02,10.605,87,19.9995,"09",2011,1,26,7,17,10.0469,"1",9,"1","morning"
"2011","01","26","1","0","1","3",9.02,10.605,93,19.0012,"10",2011,1,26,7,17,10.0469,"1",10,"1","morning"
"2011","01","26","1","0","1","3",9.02,9.85,93,22.0028,"11",2011,1,26,7,17,10.0469,"1",11,"1","morning"
"2011","01","26","1","0","1","3",9.02,9.85,93,22.0028,"12",2011,1,26,7,17,10.0469,"1",12,"1","midday"
"2011","01","26","1","0","1","3",9.02,9.85,93,22.0028,"13",2011,1,26,7,17,10.0469,"1",13,"1","midday"
"2011","01","26","1","0","1","3",9.02,9.85,93,23.9994,"14",2011,1,26,7,17,10.0469,"1",14,"1","midday"
"2011","01","26","1","0","1","3",9.02,9.09,93,31.0009,"15",2011,1,26,7,17,10.0469,"1",15,"1","midday"
"2011","01","26","1","0","1","4",9.02,9.85,93,22.0028,"16",2011,1,26,7,17,10.0469,"1",16,"1","afternoon"
"2011","01","26","1","0","1","3",8.2,9.09,93,23.9994,"17",2011,1,26,7,17,10.0469,"1",17,"0","afternoon"
"2011","01","27","1","0","1","1",9.02,11.365,55,12.998,"16",2011,1,27,7,17,10.0783,"1",16,"1","afternoon"
"2011","01","27","1","0","1","1",9.02,12.12,55,7.0015,"17",2011,1,27,7,17,10.0783,"1",17,"0","afternoon"
"2011","01","27","1","0","1","1",8.2,11.365,69,6.0032,"18",2011,1,27,7,17,10.0783,"0",18,"0","afternoon"
"2011","01","27","1","0","1","1",8.2,11.365,69,6.0032,"19",2011,1,27,7,17,10.0783,"0",19,"0","afternoon"
"2011","01","27","1","0","1","1",7.38,10.605,74,6.0032,"20",2011,1,27,7,17,10.0783,"0",20,"0","night"
"2011","01","27","1","0","1","1",7.38,10.605,74,6.0032,"21",2011,1,27,7,17,10.0783,"0",21,"0","night"
"2011","01","27","1","0","1","1",7.38,10.605,74,6.0032,"22",2011,1,27,7,17,10.0783,"0",22,"0","night"
"2011","01","27","1","0","1","1",7.38,9.85,80,11.0014,"23",2011,1,27,7,17,10.0783,"0",23,"0","night"
"2011","01","28","1","0","1","2",8.2,10.605,75,8.9981,"00",2011,1,28,7,17,10.1103,"0",0,"0","night"
"2011","01","28","1","0","1","2",8.2,10.605,75,8.9981,"01",2011,1,28,7,17,10.1103,"0",1,"0","night"
"2011","01","28","1","0","1","2",8.2,10.605,75,11.0014,"02",2011,1,28,7,17,10.1103,"0",2,"0","night"
"2011","01","28","1","0","1","2",8.2,11.365,75,7.0015,"03",2011,1,28,7,17,10.1103,"0",3,"0","night"
"2011","01","28","1","0","1","2",7.38,10.605,80,7.0015,"05",2011,1,28,7,17,10.1103,"0",5,"0","morning"
"2011","01","28","1","0","1","2",7.38,9.85,80,8.9981,"06",2011,1,28,7,17,10.1103,"0",6,"0","morning"
"2011","01","28","1","0","1","2",6.56,9.85,86,6.0032,"07",2011,1,28,7,17,10.1103,"1",7,"0","morning"
"2011","01","28","1","0","1","2",6.56,9.85,86,6.0032,"08",2011,1,28,7,17,10.1103,"1",8,"0","morning"
"2011","01","28","1","0","1","3",7.38,10.605,86,6.0032,"09",2011,1,28,7,17,10.1103,"1",9,"1","morning"
"2011","01","28","1","0","1","3",7.38,10.605,86,7.0015,"10",2011,1,28,7,17,10.1103,"1",10,"1","morning"
"2011","01","28","1","0","1","3",7.38,10.605,93,7.0015,"11",2011,1,28,7,17,10.1103,"1",11,"1","morning"
"2011","01","28","1","0","1","3",7.38,10.605,93,7.0015,"12",2011,1,28,7,17,10.1103,"1",12,"1","midday"
"2011","01","28","1","0","1","3",7.38,10.605,93,7.0015,"13",2011,1,28,7,17,10.1103,"1",13,"1","midday"
"2011","01","28","1","0","1","3",9.02,13.635,80,0,"14",2011,1,28,7,17,10.1103,"1",14,"1","midday"
"2011","01","28","1","0","1","2",8.2,12.88,86,0,"15",2011,1,28,7,17,10.1103,"1",15,"1","midday"
"2011","01","28","1","0","1","1",9.02,13.635,80,0,"16",2011,1,28,7,17,10.1103,"1",16,"1","afternoon"
"2011","01","28","1","0","1","1",9.84,12.12,75,8.9981,"17",2011,1,28,7,17,10.1103,"1",17,"0","afternoon"
"2011","01","28","1","0","1","1",9.84,11.365,75,12.998,"18",2011,1,28,7,17,10.1103,"0",18,"0","afternoon"
"2011","01","28","1","0","1","2",9.84,12.12,75,8.9981,"19",2011,1,28,7,17,10.1103,"0",19,"0","afternoon"
"2011","01","28","1","0","1","2",9.84,11.365,70,12.998,"20",2011,1,28,7,17,10.1103,"0",20,"0","night"
"2011","01","28","1","0","1","2",9.02,11.365,75,8.9981,"21",2011,1,28,7,17,10.1103,"0",21,"0","night"
"2011","01","28","1","0","1","1",9.84,10.605,65,23.9994,"22",2011,1,28,7,17,10.1103,"0",22,"0","night"
"2011","01","28","1","0","1","1",9.84,11.365,60,15.0013,"23",2011,1,28,7,17,10.1103,"0",23,"0","night"
"2011","01","29","1","0","0","1",9.02,9.85,64,23.9994,"00",2011,1,29,7,17,10.1428,"0",0,"0","night"
"2011","01","29","1","0","0","1",9.02,11.365,64,12.998,"01",2011,1,29,7,17,10.1428,"0",1,"0","night"
"2011","01","29","1","0","0","1",9.02,11.365,64,11.0014,"02",2011,1,29,7,17,10.1428,"0",2,"0","night"
"2011","01","29","1","0","0","1",8.2,10.605,64,8.9981,"03",2011,1,29,7,17,10.1428,"0",3,"0","night"
"2011","01","29","1","0","0","1",6.56,9.09,69,7.0015,"04",2011,1,29,7,17,10.1428,"0",4,"0","night"
"2011","01","29","1","0","0","1",6.56,9.09,64,8.9981,"06",2011,1,29,7,17,10.1428,"0",6,"0","morning"
"2011","01","29","1","0","0","1",6.56,9.09,59,7.0015,"07",2011,1,29,7,17,10.1428,"1",7,"0","morning"
"2011","01","29","1","0","0","1",7.38,9.85,55,11.0014,"08",2011,1,29,7,17,10.1428,"1",8,"0","morning"
"2011","01","29","1","0","0","1",7.38,10.605,59,6.0032,"09",2011,1,29,7,17,10.1428,"1",9,"0","morning"
"2011","01","29","1","0","0","2",7.38,10.605,64,7.0015,"10",2011,1,29,7,17,10.1428,"1",10,"0","morning"
"2011","01","29","1","0","0","2",7.38,9.85,64,8.9981,"11",2011,1,29,7,17,10.1428,"1",11,"0","morning"
"2011","01","29","1","0","0","2",8.2,9.85,59,12.998,"12",2011,1,29,7,17,10.1428,"1",12,"0","midday"
"2011","01","29","1","0","0","2",9.02,11.365,55,11.0014,"13",2011,1,29,7,17,10.1428,"1",13,"0","midday"
"2011","01","29","1","0","0","2",9.02,11.365,60,8.9981,"14",2011,1,29,7,17,10.1428,"1",14,"0","midday"
"2011","01","29","1","0","0","1",9.02,10.605,69,16.9979,"15",2011,1,29,7,17,10.1428,"1",15,"0","midday"
"2011","01","29","1","0","0","1",9.84,12.12,60,11.0014,"16",2011,1,29,7,17,10.1428,"1",16,"0","afternoon"
"2011","01","29","1","0","0","1",9.84,14.395,60,0,"17",2011,1,29,7,17,10.1428,"1",17,"0","afternoon"
"2011","01","29","1","0","0","1",9.02,11.365,69,8.9981,"18",2011,1,29,7,17,10.1428,"0",18,"0","afternoon"
"2011","01","29","1","0","0","2",9.02,10.605,69,16.9979,"19",2011,1,29,7,17,10.1428,"0",19,"0","afternoon"
"2011","01","29","1","0","0","1",7.38,10.605,74,6.0032,"20",2011,1,29,7,17,10.1428,"0",20,"0","night"
"2011","01","29","1","0","0","1",7.38,10.605,74,6.0032,"21",2011,1,29,7,17,10.1428,"0",21,"0","night"
"2011","01","29","1","0","0","1",6.56,9.85,80,6.0032,"22",2011,1,29,7,17,10.1428,"0",22,"0","night"
"2011","01","29","1","0","0","1",6.56,9.85,80,6.0032,"23",2011,1,29,7,17,10.1428,"0",23,"0","night"
"2011","01","30","1","0","0","1",6.56,9.09,80,7.0015,"00",2011,1,30,7,17,10.1756,"0",0,"0","night"
"2011","01","30","1","0","0","1",5.74,10.605,80,0,"01",2011,1,30,7,17,10.1756,"0",1,"0","night"
"2011","01","30","1","0","0","1",6.56,11.365,80,0,"02",2011,1,30,7,17,10.1756,"0",2,"0","night"
"2011","01","30","1","0","0","1",5.74,10.605,93,0,"03",2011,1,30,7,17,10.1756,"0",3,"0","night"
"2011","01","30","1","0","0","1",5.74,10.605,93,0,"04",2011,1,30,7,17,10.1756,"0",4,"0","night"
"2011","01","30","1","0","0","1",5.74,10.605,86,0,"05",2011,1,30,7,17,10.1756,"0",5,"0","morning"
"2011","01","30","1","0","0","1",5.74,10.605,86,0,"07",2011,1,30,7,17,10.1756,"1",7,"0","morning"
"2011","01","30","1","0","0","2",5.74,10.605,86,0,"08",2011,1,30,7,17,10.1756,"1",8,"0","morning"
"2011","01","30","1","0","0","2",6.56,11.365,80,0,"09",2011,1,30,7,17,10.1756,"1",9,"0","morning"
"2011","01","30","1","0","0","2",7.38,12.12,80,0,"10",2011,1,30,7,17,10.1756,"1",10,"0","morning"
"2011","01","30","1","0","0","1",9.02,13.635,75,0,"11",2011,1,30,7,17,10.1756,"1",11,"0","morning"
"2011","01","30","1","0","0","1",12.3,15.91,52,7.0015,"12",2011,1,30,7,17,10.1756,"1",12,"0","midday"
"2011","01","30","1","0","0","1",11.48,14.395,61,7.0015,"13",2011,1,30,7,17,10.1756,"1",13,"0","midday"
"2011","01","30","1","0","0","1",11.48,15.15,61,6.0032,"14",2011,1,30,7,17,10.1756,"1",14,"0","midday"
